App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Google Play services,com.google.android.gms,Tools,4.2,35128398.0,"10,000,000,000+",10000000000.0,12057627016,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://developers.google.com/android/google-play-services/,apps-help@google.com,"May 24, 2012","Jun 10, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 10:41:26
YouTube,com.google.android.youtube,Video Players & Editors,4.4,112440547.0,"5,000,000,000+",5000000000.0,9766230924,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/youtube/topic/2422554?rd=1,ytandroid-support@google.com,"Oct 20, 2010","Jun 16, 2021",Teen,http://www.google.com/policies/privacy,True,False,False,2021-06-16 10:28:37
Google,com.google.android.googlequicksearchbox,Tools,4.2,19798962.0,"5,000,000,000+",5000000000.0,9154248491,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://www.google.com/search/about/,apps-help@google.com,"Aug 12, 2010","Jun 11, 2021",Everyone,http://www.google.com/policies/privacy,True,False,False,2021-06-16 05:12:00
Google Maps - Navigate & Explore,com.google.android.apps.maps,Travel & Local,3.8,13576045.0,"5,000,000,000+",5000000000.0,9141671889,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://maps.google.com/about/,apps-help@google.com,,"Jun 15, 2021",Everyone,http://www.google.com/policies/privacy,True,False,True,2021-06-16 04:38:02
Google Text-to-Speech,com.google.android.tts,Tools,4.1,254700.0,"5,000,000,000+",5000000000.0,9034404884,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://www.google.com/,tts-feedback@google.com,"Oct 10, 2013","Mar 29, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 13:16:56
Google Chrome: Fast & Secure,com.android.chrome,Communication,4.1,31481796.0,"5,000,000,000+",5000000000.0,8925640788,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://www.google.com/chrome/android,apps-help@google.com,"Feb 7, 2012","Jun 14, 2021",Everyone,http://www.google.com/chrome/intl/en/privacy.html,False,False,False,2021-06-16 11:26:31
Gmail,com.google.android.gm,Communication,4.2,9488421.0,"5,000,000,000+",5000000000.0,8756574289,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://support.google.com/mail/bin/topic.py?hl=en&topic=2451697&parent=2451730&ctx=topic,apps-help@google.com,"Sep 21, 2010","Jun 16, 2021",Everyone,http://www.google.com/policies/privacy,True,False,False,2021-06-16 09:53:00
Android Accessibility Suite,com.google.android.marvin.talkback,Tools,4.2,2666450.0,"5,000,000,000+",5000000000.0,7408134567,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://developer.android.com/guide/topics/ui/accessibility,apps-help@google.com,,"May 19, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 08:36:32
Google Drive,com.google.android.apps.docs,Productivity,4.3,639307.0,"5,000,000,000+",5000000000.0,7028265259,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/drive/?p=android_drive_help,apps-help@google.com,"Apr 27, 2011","Jun 09, 2021",Everyone,http://www.google.com/policies/privacy,False,True,False,2021-06-16 10:39:49
Facebook,com.facebook.katana,Social,2.3,117850066.0,"5,000,000,000+",5000000000.0,6782619635,True,0.0,USD,Varies with device,Varies with device,Facebook,https://www.facebook.com/facebook,facebook.android@fb.com,,"Jun 16, 2021",Teen,https://www.facebook.com/about/privacy/,True,True,False,2021-06-16 11:40:20
WhatsApp Messenger,com.whatsapp,Communication,4.0,138557570.0,"5,000,000,000+",5000000000.0,6265637751,True,0.0,USD,Varies with device,Varies with device,WhatsApp LLC,http://www.whatsapp.com/,android@support.whatsapp.com,"Oct 18, 2010","Jun 09, 2021",Everyone,http://www.whatsapp.com/legal/#Privacy,False,False,True,2021-06-16 02:51:24
Google TV (previously Play Movies & TV),com.google.android.videos,Video Players & Editors,4.0,1825673.0,"5,000,000,000+",5000000000.0,6156518915,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://support.google.com/googleplay,apps-help@google.com,"Jun 3, 2011","Jun 14, 2021",Teen,http://www.google.com/policies/privacy,False,False,False,2021-06-15 23:07:22
Google Photos,com.google.android.apps.photos,Photography,4.5,35369236.0,"5,000,000,000+",5000000000.0,5754179589,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/photos,apps-help@google.com,"May 28, 2015","Jun 14, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 06:00:01
Messenger – Text and Video Chat for Free,com.facebook.orca,Communication,4.0,78563229.0,"5,000,000,000+",5000000000.0,5054312355,True,0.0,USD,Varies with device,Varies with device,Facebook,https://www.facebook.com/games/fbmessenger_android/,android-support@fb.com,"Jan 30, 2014","Jun 14, 2021",Everyone,https://m.facebook.com/policy.php,False,True,True,2021-06-16 09:49:47
Hangouts,com.google.android.talk,Communication,4.0,5072462.0,"5,000,000,000+",5000000000.0,5019518222,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/hangouts/?p=androidhelp,apps-help@google.com,"May 15, 2013","May 14, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 11:09:02
Android System WebView,com.google.android.webview,Tools,4.0,6045686.0,"1,000,000,000+",1000000000.0,4764329349,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://www.android.com,apps-help@google.com,"Mar 10, 2015","Jun 14, 2021",Everyone,,False,False,False,2021-06-16 00:17:24
Google Play Games,com.google.android.play.games,Entertainment,4.3,12016421.0,"1,000,000,000+",1000000000.0,4605543029,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://play.google.com/store/apps/category/GAME,googleplay-support@google.com,"Jul 24, 2013","Apr 26, 2021",Teen,http://www.google.com/policies/privacy,False,False,False,2021-06-16 03:24:06
Samsung Push Service,com.sec.spp.push,Communication,4.2,1160802.0,"1,000,000,000+",1000000000.0,4186667750,True,0.0,USD,Varies with device,Varies with device,"Samsung Electronics Co.,  Ltd.",,noreply.sec@samsung.com,"Mar 29, 2013","May 13, 2021",Everyone,https://account.samsung.com/membership/pp,False,False,False,2021-06-15 21:49:09
Google Duo - High Quality Video Calls,com.google.android.apps.tachyon,Communication,4.5,7709623.0,"1,000,000,000+",1000000000.0,4022259636,True,0.0,USD,Varies with device,Varies with device,Google LLC,,apps-help@google.com,"Aug 16, 2016","Jun 15, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 09:15:11
Currents,com.google.android.apps.plus,Social,4.0,6359366.0,"1,000,000,000+",1000000000.0,3929716163,True,0.0,USD,Varies with device,5.0 and up,Google LLC,https://support.google.com/plus/?hl=en#topic=6320382,apps-help@google.com,"Jun 28, 2011","Jun 07, 2021",Teen,http://www.google.com/policies/privacy,False,False,False,2021-06-16 14:03:43
Gboard - the Google Keyboard,com.google.android.inputmethod.latin,Tools,4.5,667983.0,"1,000,000,000+",1000000000.0,3897822063,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/gboard,gboard-dev-support@google.com,"Jun 5, 2013","Jun 07, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-15 23:13:30
Instagram,com.instagram.android,Social,3.8,120206190.0,"1,000,000,000+",1000000000.0,3559871277,True,0.0,USD,Varies with device,Varies with device,Instagram,http://help.instagram.com/,android-support@instagram.com,"Apr 3, 2012","Jun 14, 2021",Teen,http://instagram.com/legal/privacy/,True,True,True,2021-06-16 01:33:46
"Google Play Books - Ebooks, Audiobooks, and Comics",com.google.android.apps.books,Books & Reference,4.1,1814775.0,"1,000,000,000+",1000000000.0,3202676731,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://play.google.com/,googleplay-support@google.com,"Dec 6, 2010","Jun 11, 2021",Teen,https://play.google.com/books/intl/privacy.html,False,False,False,2021-06-16 04:27:28
Google News - Top world & local news headlines,com.google.android.apps.magazines,News & Magazines,4.1,201058.0,"1,000,000,000+",1000000000.0,2961820154,True,0.0,USD,Varies with device,Varies with device,Google LLC,https://news.google.com/about,apps-help@google.com,"Jun 27, 2012","Jun 15, 2021",Teen,http://www.google.com/policies/privacy,True,False,False,2021-06-16 14:21:18
Google Calendar,com.google.android.calendar,Productivity,4.3,1685331.0,"1,000,000,000+",1000000000.0,2651720962,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://support.google.com/calendar?p=mobilesync,apps-help@google.com,"Oct 17, 2012","Jun 14, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 00:10:15
Samsung Internet Browser,com.sec.android.app.sbrowser,Communication,4.4,3888779.0,"1,000,000,000+",1000000000.0,2167405314,True,0.0,USD,Varies with device,Varies with device,"Samsung Electronics Co.,  Ltd.",http://help.content.samsung.com,noreply.sec@samsung.com,"Aug 24, 2015","May 20, 2021",Everyone,http://www.samsung.com/us/common/privacy.html,False,False,False,2021-06-16 06:42:35
Samsung One UI Home,com.sec.android.app.launcher,Personalization,4.0,262669.0,"1,000,000,000+",1000000000.0,2158959897,True,0.0,USD,Varies with device,Varies with device,"Samsung Electronics Co.,  Ltd.",,noreply.sec@samsung.com,"Jun 14, 2012","Sep 16, 2019",Everyone,https://account.samsung.com/membership/pp,False,False,False,2021-06-16 00:21:30
